id,title,place,description,siteUrl,favoritesCount,commentsCount,publicationDate,rating
51318,Новая культура зовёт: гид по кинофестивалю Beat Weekend 2024,Неизвестно,С 12 по 22 сентября в 27 городах России пройдёт фестиваль документального кино о новой культуре Beat Weekend. Вот уже несколько лет создатели фестиваля собирают региональную спецпрограмму, куда входят лучшие показы московского Beat Film Festival. Этот год не стал исключением, и авторам есть чем удивить поклонников документального кино. Ещё больше обзоров премьер и рецензий на фильмы ищите у нас на сайте в разделе про кино.,https://kudago.com/all/news/gid-po-kinofestivalyu-beat-weekend-2024/,0,0,2024-09-11,0.5
51349,Опубликован новый трейлер мультфильма «Дикий робот»,Неизвестно,Мировая премьера — в конце сентября.,https://kudago.com/all/news/trejler-multfilma-dikij-robot/,0,0,2024-09-11,0.5
51345,В России могут запретить квадроберов,Неизвестно,Подражание животным опасно для подростков и их окружения, считают инициаторы идеи.,https://kudago.com/all/news/v-rossii-mogut-zapretit/,0,0,2024-09-11,0.5
51343,На трассе М-11 хотят сделать музыкальную разметку,Неизвестно,Она помогает водителям следить за расстоянием до обочины.,https://kudago.com/all/news/na-trasse-m-11-hotyat-sdelat/,0,0,2024-09-11,0.5
51336,Стартовал кастинг для нового сериала про Гарри Поттера,Неизвестно,Исполнителей ищут в Британии и Ирландии.,https://kudago.com/all/news/startoval-kasting-dlya-novogo/,0,0,2024-09-10,0.5
51335,Стало известно, кто снимет четвёртого «Человека-паука»,Неизвестно,Стороны ведут переговоры.,https://kudago.com/all/news/kto-snimet-chetvertogo-cheloveka-pauka/,0,0,2024-09-10,0.5
51334,Создатели нового фильма «Буратино» запустили масштабный кастинг,Неизвестно,Любой желающий может стать частью актёрской команды.,https://kudago.com/all/news/kasting-v-buratino/,0,0,2024-09-10,0.5
51331,«Победа» анонсировала распродажу билетов,Неизвестно,Скидки на все направления.,https://kudago.com/all/news/pobeda-anonsirovala-rasprodazhu/,0,0,2024-09-10,0.5
51325,Apple провела презентацию новинок 2024 года,Неизвестно,Покупателям представили улучшенные модели смартфонов, часов и наушников.,https://kudago.com/all/news/apple-provela-prezentatsiyu/,0,0,2024-09-10,0.5
51314,В Адыгее сплели самую длинную в истории  России сырную косу,Неизвестно,Её изготовили во время гастрономического фестиваля.,https://kudago.com/all/news/samaya-dlinnaya-syrnaya-kosa-rossii/,0,0,2024-09-09,0.5
51312,«Сёгун» установил рекорд по числу выигранных Creative Arts Emmys,Неизвестно,Также награда досталась Джейми Ли Кёртис.,https://kudago.com/all/news/syogun-ustanovil-rekord-po/,0,0,2024-09-09,0.5
51310,Стали известны лауреаты Венецианского кинофестиваля,Неизвестно,Главный приз получил Педро Альмодовар.,https://kudago.com/all/news/laureaty-venecianskogo-kinofestivalya-2024/,0,0,2024-09-09,0.5
51309,The Weeknd поделился обложкой нового альбома,Неизвестно,И его названием.,https://kudago.com/all/news/the-weeknd-podelilsya-oblozhkoj/,0,0,2024-09-09,0.5
51234,Город глазами художника Никаса Сафронова,Петропавловская крепость,В Петропавловской крепости стартовала персональная выставка художника Никаса Сафронова под названием «Большая Любовь к Петербургу». Мы встретились с ним на её открытии и поговорили с ним о том, каким он видит Северную столицу. Вот что из этого получилось.,https://kudago.com/all/news/gorod-glazami-hudozhnika-nikasa/,0,0,2024-09-09,0.5
51300,Москва лидирует в списке городов, где живут одиночки,Неизвестно,Тренд на самостоятельную жизнь набирает обороты.,https://kudago.com/all/news/moskva-lidiruet-v-spiske/,0,0,2024-09-06,0.5
51299,Вышел новый трейлер сказочного мюзикла «Злая» с Ариной Гранде,Неизвестно,Премьера ожидается в конце осени.,https://kudago.com/all/news/vyishel-novyij-trejler-skazochnogo/,0,0,2024-09-06,0.5
51298,Linkin Park анонсировали тур и новый альбом,Неизвестно,У группы новые вокалистка и барабанщик.,https://kudago.com/all/news/linkin-park-anonsirovali-tur-i/,0,0,2024-09-06,0.5
51280,Netflix заказал мультсериал по «Сумеркам»,Неизвестно,В основу ляжет роман, написанный от лица Эдварда Каллена.,https://kudago.com/all/news/netflix-zakazal-multserial-po-sumerkam/,0,0,2024-09-05,0.5
51279,«Убийства в одном здании» получили пятый сезон,Неизвестно,Сейчас транслируют четвёртый.,https://kudago.com/all/news/ubijstva-v-odnom-zdanii/,0,0,2024-09-05,0.5
51272,Критики выбрали 100 лучших эпизодов из американских сериалов,Неизвестно,В топ попали не только современные шоу, но и классика ТВ.,https://kudago.com/all/news/100-luchshih-epizodov-iz-amerikanskih-serialov/,0,0,2024-09-05,0.5
51268,Новая книга Виктора Пелевина выйдет в этом году,Неизвестно,Писатель скрасил ожидание фанатов специальным плейлистом.,https://kudago.com/all/news/novaya-kniga-viktora-pelevina/,0,0,2024-09-05,0.5
51266,В России начнут проводить школьные олимпиады по труду,Неизвестно,Первая состоится в этом году.,https://kudago.com/all/news/v-rossii-nachnut-provodit/,0,0,2024-09-04,0.5
51263,Вышел трейлер нового сериала с Николь Кидман,Неизвестно,В проекте приняли участие Лив Шрайбер и Дакота Фаннинг.,https://kudago.com/all/news/vyishel-trejler-novogo-seriala-s/,0,0,2024-09-04,0.5
51260,Фандом Фест опубликовал финальную программу фестиваля,Неизвестно,В ней — встречи с авторами и выступления известных артистов.,https://kudago.com/all/news/finalnaya-programma-fandom-festa/,0,0,2024-09-04,0.5
51257,Появился новый тизер фильма «Джокер: Безумие на двоих»,Неизвестно,Также студия опубликовала новый постер и фрагмент из ленты.,https://kudago.com/all/news/vyishel-novyij-tizer-dzhokera/,0,0,2024-09-04,0.5
51256,Одинокий дикарь: рецензия на фильм «Чёрный пёс»,Неизвестно,В российский прокат выходит китайский фильм «Чёрный пёс» — нетипичная история о дружбе человека и собаки. Чем хорош лауреат Каннского фестиваля, рассказываем в нашей рецензии. Ещё больше обзоров премьер и рецензий на фильмы ищите у нас на сайте в разделе про кино.,https://kudago.com/all/news/retsenziya-na-film-chyornyij-pyos/,0,0,2024-09-04,0.5
51255,Звёзды «Гарри Поттера» появились в новом трейлере кулинарного шоу по миру Джоан Роулинг,Неизвестно,В роли ведущих близнецы Уизли.,https://kudago.com/all/news/zvyozdyi-filmov-pro-garri-pottera/,0,0,2024-09-04,0.5
51246,Школьников Приморья будут учить корейскому языку,Неизвестно,В регион пригласили педагогов из Северной Кореи.,https://kudago.com/all/news/shkolnikov-primorya-budut-uchit/,0,0,2024-09-03,0.5
51249,Попытка повторить: рецензия на фильм «Счастливые дни»,Неизвестно,Сейчас на больших экранах можно увидеть медленное, тягучее итальянское кино о попытке возродить былые отношения. Режиссёр и сценарист Симоне Петралья берёт на главные роли Анну Гальена и Франко Неро. Но тандем прекрасных актёров, кажется, не показывает максимально слаженной работы. А в самом сюжете угадываются связи с великой «Любовью» Михаэля Ханеке. Подробнее о том, каким получился фильм, читайте в нашей рецензии. Ещё больше обзоров премьер и рецензий на фильмы ищите у нас на сайте в разделе про кино.,https://kudago.com/all/news/popyitka-povtorit-retsenziya-na/,0,0,2024-09-03,0.5
51244,Кровь и мёд: рецензия на фильм «Пчеловод» с Джейсоном Стэйтемом,Неизвестно,«Пчеловод» — боевик от режиссёра «Патруля», «Ярости» и «Отряда самоубийц» Дэвида Эйра. А любимый, почти что народный, актёр для российского зрителя — Джейсон Стэйтем — пробует себя в новой роли. Перевозчиком, механиком и шпионом он уже был. А вот пчеловод — это нечто новое в фильмографии Стэйтема. Каким получился фильм, читайте в нашей рецензии. Ещё больше обзоров премьер и рецензий на фильмы ищите у нас на сайте в разделе про кино.,https://kudago.com/all/news/krov-i-myod-retsenziya-na-film/,0,0,2024-09-03,0.5
51243,Сильвестр Сталлоне пишет сценарий к приквелу «Рокки»,Неизвестно,В нём главному герою 17 лет.,https://kudago.com/all/news/silvestr-stallone-pishet/,0,0,2024-09-03,0.5
51238,Стала известна дата премьеры шоу «Вызов. Китайский сезон»,Неизвестно,Команды из России и Китая сразятся за 10 000 000 рублей.,https://kudago.com/all/news/stala-izvestna-data-premeryi-shou/,0,0,2024-09-03,0.5
51235,Работодатели рассказали, нужно ли писать о хобби в резюме,Неизвестно,Мнения разделились.,https://kudago.com/all/news/rabotodateli-rasskazali-nuzhno/,0,0,2024-09-03,0.5
51227,В Калифорнии запретили создавать цифровых двойников умерших актёров при помощи ИИ,Неизвестно,Закон поддержал профсоюз актёров.,https://kudago.com/all/news/v-kalifornii-zapretili-sozdavat/,0,0,2024-09-02,0.5
51062,Go по работам: дизайнеры бренда Wearnost про дружбу с клиентами, уникальные материалы и мечты, ставшие реальностью,Неизвестно,Анастасию Нефедьеву и Юлию Юсупову объединила общая цель — создавать качественные и комфортные пижамы для дома. Так появился на свет бренд одежды из тенселя с нежным названием Wearnost («Верность»). Мы поговорили с Анастасией и Юлией о том, как они решили шить одежду из этой ткани, как успевают совмещать в себе столько ролей и как сделали так, чтобы покупатели возвращались.,https://kudago.com/all/news/go-po-rabotam-proizvoditeli-i/,0,0,2024-09-02,0.5
